r,g,b,cluster_1,cluster_2,cluster_3
49,58,77,0.0017221,0.994692,0.00358565
47,182,211,0.00235537,0.0017268,0.995918
40,224,174,0.0067454,0.00718131,0.986073
177,9,251,0.703298,0.129242,0.16746
114,97,94,0.0380304,0.933229,0.028741
123,198,220,0.136906,0.0141506,0.848944
30,36,27,0.00859674,0.977058,0.0143452
137,134,194,0.687377,0.0255563,0.287067
240,201,224,0.905749,0.0177815,0.0764698
54,12,220,0.234665,0.366537,0.398799
24,184,170,0.00322453,0.00637494,0.990401
26,63,81,0.00503239,0.979971,0.0149963
15,99,185,0.048926,0.176167,0.774907
247,168,197,0.97716,0.00598859,0.0168511
181,128,152,0.997586,0.000885191,0.00152904
229,205,199,0.923788,0.014198,0.062014
43,237,66,0.082876,0.30416,0.612964
109,120,186,0.250328,0.0591495,0.690523
74,36,94,0.0120576,0.973227,0.0147156
25,112,88,0.00926509,0.929309,0.0614258
99,89,57,0.000848475,0.998283,0.000868781
131,241,13,0.242703,0.44496,0.312337
190,103,119,0.94619,0.0361358,0.0176741
249,130,253,0.931858,0.0176091,0.0505324
65,158,220,0.00859801,0.00431279,0.987089
28,243,206,0.0205779,0.01688,0.962542
41,59,103,0.00909256,0.965344,0.0255638
253,226,66,0.726966,0.130626,0.142408
189,159,253,0.854893,0.0178174,0.12729
99,188,96,0.119946,0.265461,0.614592
6,243,216,0.0287948,0.0276577,0.943547
115,109,49,0.0127209,0.976865,0.0104136
221,19,93,0.62812,0.302795,0.0690849
234,146,16,0.557663,0.334899,0.107438
9,33,192,0.117228,0.456149,0.426623
90,148,202,0.0205741,0.0065308,0.972895
61,149,225,0.0158719,0.00865072,0.975477
82,138,231,0.0577598,0.0185544,0.923686
34,98,7,0.00725766,0.977193,0.0155495
220,220,73,0.710401,0.132786,0.156813
252,238,130,0.825304,0.0546049,0.120091
62,212,85,0.0673542,0.249158,0.683487
211,80,133,0.958111,0.0272049,0.0146836
52,68,2,0.00634919,0.98422,0.00943037
160,124,91,0.573053,0.33985,0.0870966
122,113,200,0.493278,0.0548514,0.451871
49,146,63,0.0147211,0.909394,0.0758852
175,40,175,0.821968,0.107137,0.0708945
183,53,247,0.825121,0.0590148,0.115864
74,214,247,0.0388784,0.0124003,0.948721
226,182,219,0.947591,0.00948333,0.0429261
33,180,206,0.00318162,0.00321202,0.993606
191,101,164,0.995888,0.00180665,0.00230531
82,236,3,0.140385,0.54628,0.313335
39,50,55,0.00279797,0.991829,0.00537294
198,92,57,0.520321,0.415565,0.0641144
84,202,221,0.0143954,0.00418692,0.981418
73,133,221,0.037721,0.017588,0.944691
184,82,135,0.933616,0.0444631,0.0219206
30,191,81,0.0447032,0.391917,0.563379
62,2,3,0.025771,0.947752,0.0264774
182,163,237,0.876023,0.0133035,0.110674
98,63,102,0.0184118,0.964635,0.0169537
95,30,73,0.0135666,0.97568,0.0107537
194,25,228,0.810479,0.0868342,0.102687
39,180,38,0.0431243,0.754885,0.20199
19,115,113,0.0229459,0.716948,0.260106
241,148,106,0.948363,0.0278266,0.0238102
228,90,205,0.98032,0.00740307,0.012277
107,227,120,0.11683,0.0765645,0.806606
54,178,97,0.0397985,0.305514,0.654687
174,243,164,0.573257,0.0469163,0.379827
13,194,157,0.00837232,0.0209846,0.970643
12,241,47,0.082374,0.393116,0.52451
110,59,171,0.3834,0.354661,0.261938
177,47,163,0.842601,0.10036,0.0570393
154,220,32,0.327318,0.401637,0.271045
24,121,215,0.0328698,0.0491947,0.917935
216,92,13,0.400478,0.518257,0.0812656
104,219,161,0.0394546,0.0135261,0.947019
221,113,209,0.990011,0.0029993,0.00699015
224,201,2,0.494098,0.339908,0.165994
33,96,143,0.0412402,0.52964,0.429119
63,70,19,0.00229433,0.99444,0.00326599
189,90,110,0.870764,0.0976552,0.0315808
60,73,9,0.0040639,0.990072,0.00586385
156,253,22,0.328449,0.35189,0.319661
75,63,119,0.0250131,0.930417,0.0445699
10,151,179,0.0109788,0.0300685,0.958953
249,120,192,0.989098,0.00393553,0.00696675
117,59,24,0.0144606,0.9762,0.00933993
14,1,66,0.0265259,0.927321,0.0461534
131,103,93,0.137184,0.805278,0.0575386
188,249,213,0.60999,0.0386612,0.351349
174,217,217,0.647054,0.0256056,0.327341
77,191,240,0.0257884,0.007849,0.966363
237,246,231,0.766195,0.0387794,0.195025
172,79,178,0.947917,0.0233788,0.0287045
154,122,198,0.917834,0.0124404,0.0697259
48,32,0,0.013455,0.969209,0.0173357
