r,g,b,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20
36,145,103,3.72384e-10,7.02018e-10,5.40153e-09,3.30282e-09,2.1617e-09,1.60221e-09,6.57201e-10,3.8042e-07,1.36839e-09,6.02886e-10,1.70326e-08,1.85981e-09,2.81028e-10,9.50063e-10,1.18376e-09,1.01761e-07,5.55798e-08,3.6788e-09,5.07378e-10,3.46169e-10
220,70,134,2.88866e-09,9.11132e-10,6.49877e-10,1.92948e-09,1.1707e-09,5.02927e-09,1.21777e-08,4.581e-10,4.32888e-08,8.66024e-10,3.15096e-09,2.04972e-10,6.4167e-09,2.04068e-07,1.50784e-09,4.43156e-10,3.9889e-10,5.24584e-10,1.59629e-08,4.09799e-09
29,104,192,4.89601e-10,2.10825e-10,5.23143e-06,3.79877e-08,9.43717e-10,5.66157e-09,4.11149e-10,4.70121e-08,6.91841e-10,6.99527e-10,2.6274e-09,3.31925e-09,6.79302e-10,1.28682e-09,6.48269e-10,2.02174e-09,1.92808e-09,1.75611e-08,8.596e-10,1.96085e-10
143,246,196,5.79987e-09,9.63233e-10,8.87407e-10,2.12538e-09,1.65033e-10,4.42211e-10,2.53695e-09,1.14182e-09,5.0082e-10,1.97896e-07,3.35972e-09,5.47958e-09,3.24015e-10,5.58741e-10,5.88621e-08,4.82947e-10,1.81775e-09,2.32588e-10,1.8105e-09,1.36165e-10
109,82,146,1.24944e-09,6.13364e-10,1.20243e-08,3.52542e-08,4.34132e-09,7.54575e-08,2.0229e-09,6.53143e-09,9.13202e-09,1.02493e-09,1.75512e-08,8.28634e-10,2.546e-09,2.53148e-08,1.55027e-09,2.79159e-09,1.92014e-09,7.45413e-09,3.92068e-09,1.036e-09
106,131,98,9.69792e-10,2.24058e-09,3.06373e-09,5.10929e-09,4.04027e-09,3.72929e-09,3.27047e-09,1.05533e-08,1.13769e-08,1.14618e-09,1.16506e-06,9.51039e-10,6.43918e-10,4.41666e-09,3.5725e-09,1.553e-08,1.24724e-08,2.14203e-09,1.60625e-09,1.14445e-09
203,149,110,5.18874e-09,7.85754e-09,6.36493e-10,1.78757e-09,8.13359e-10,1.48246e-09,6.77002e-07,7.96011e-10,2.18014e-08,2.71611e-09,2.34628e-08,4.03104e-10,1.00832e-09,6.87052e-09,1.68191e-08,9.17347e-10,1.31996e-09,3.79453e-10,6.74609e-09,1.74431e-09
108,218,33,3.66415e-10,1.3693e-08,3.90182e-10,4.93893e-10,6.41868e-10,3.20847e-10,1.43934e-09,1.61499e-09,1.33378e-09,6.059e-10,1.26053e-08,5.10428e-10,1.30565e-10,4.42016e-10,2.95069e-09,6.99216e-09,2.79342e-08,2.90157e-10,3.32303e-10,4.21379e-10
212,255,142,5.57236e-09,4.76257e-09,2.79302e-10,6.20232e-10,1.5221e-10,2.70939e-10,1.22671e-08,3.94196e-10,7.32209e-10,1.39815e-08,2.67954e-09,6.14417e-10,2.50104e-10,5.30822e-10,2.53875e-07,3.38688e-10,9.44786e-10,1.23431e-10,1.48451e-09,2.15519e-10
26,233,209,5.07894e-10,2.49861e-10,2.79688e-09,2.27914e-09,1.71457e-10,3.95883e-10,3.38506e-10,5.94154e-09,2.2388e-10,1.875e-09,1.40779e-09,4.86861e-06,1.7099e-10,2.6607e-10,1.32555e-09,8.24491e-10,3.26841e-09,4.85585e-10,4.03258e-10,7.48501e-11
151,51,243,2.21064e-09,1.73034e-10,3.97845e-09,2.09657e-08,4.77195e-10,2.73414e-08,8.88959e-10,7.09419e-10,1.13416e-09,9.88285e-10,1.00553e-09,4.65011e-10,7.76736e-08,1.10061e-08,6.23066e-10,2.75838e-10,2.77447e-10,1.37067e-09,1.48908e-08,3.21455e-10
251,149,77,2.00236e-09,1.09747e-08,2.34178e-10,5.15861e-10,4.86883e-10,5.65134e-10,1.32047e-07,2.91457e-10,1.03934e-08,9.49508e-10,3.41048e-09,1.66885e-10,5.38076e-10,2.44724e-09,3.99099e-09,4.22956e-10,5.21194e-10,1.75704e-10,2.17136e-09,2.49456e-09
225,134,111,5.08885e-09,4.88315e-09,4.76734e-10,1.31741e-09,7.19729e-10,1.39197e-09,8.42139e-07,5.1342e-10,2.55022e-08,1.87048e-09,8.28198e-09,2.75799e-10,1.26021e-09,8.79178e-09,7.38505e-09,5.92664e-10,7.41183e-10,3.12652e-10,8.10618e-09,2.35672e-09
114,86,217,2.36189e-09,2.76245e-10,2.90331e-08,1.83553e-06,7.80977e-10,4.45877e-08,1.21855e-09,2.78499e-09,1.62204e-09,1.78428e-09,3.06179e-09,1.31229e-09,6.74053e-09,9.38098e-09,1.24343e-09,6.81051e-10,7.45619e-10,3.38949e-09,9.44644e-09,3.45116e-10
120,91,195,2.73225e-09,3.98921e-10,2.12441e-08,7.97949e-07,1.13948e-09,6.17645e-08,1.90968e-09,3.61897e-09,2.9477e-09,2.01394e-09,6.12721e-09,1.25641e-09,5.90711e-09,1.78197e-08,1.78241e-09,9.86784e-10,1.05385e-09,3.62225e-09,1.17372e-08,4.94548e-10
62,219,116,5.98885e-10,1.39112e-09,1.69509e-09,1.84654e-09,4.88248e-10,5.62401e-10,9.86739e-10,1.5038e-08,7.50834e-10,1.65338e-09,1.61865e-08,5.27447e-09,1.90758e-10,5.12216e-10,4.48233e-09,7.16661e-09,4.74095e-07,6.28534e-10,5.20913e-10,2.00565e-10
171,230,10,3.75475e-10,5.33573e-07,1.77584e-10,2.60497e-10,3.67103e-10,2.01127e-10,2.29138e-09,4.40926e-10,1.28395e-09,4.92826e-10,3.73341e-09,2.21991e-10,1.12491e-10,3.63578e-10,2.73437e-09,1.22068e-09,2.28866e-09,1.38538e-10,3.05565e-10,5.23362e-10
182,225,2,3.50577e-10,8.29988e-07,1.56218e-10,2.30841e-10,3.59785e-10,1.89771e-10,2.28455e-09,3.63955e-10,1.33482e-09,4.25585e-10,2.96156e-09,1.83215e-10,1.10132e-10,3.34692e-10,2.20555e-09,1.00319e-09,1.63702e-09,1.26733e-10,2.9164e-10,5.94348e-10
228,228,75,1.63009e-09,1.0679e-07,1.97051e-10,3.86049e-10,2.40071e-10,2.62026e-10,2.394e-08,3.23297e-10,1.62975e-09,1.70449e-09,3.45703e-09,2.61069e-10,2.13029e-10,5.85029e-10,1.71074e-08,4.59406e-10,9.36647e-10,1.2121e-10,9.12266e-10,5.077e-10
122,23,163,7.17625e-10,2.61298e-10,4.81339e-09,9.54145e-09,3.86674e-09,1.39291e-05,8.95382e-10,1.44793e-09,4.96079e-09,4.37218e-10,2.19792e-09,3.26438e-10,8.01814e-09,6.5122e-08,5.1015e-10,8.13939e-10,5.00954e-10,7.74945e-09,2.98889e-09,1.1117e-09
76,1,47,1.4326e-10,2.56569e-10,7.44897e-10,6.43015e-10,4.03942e-06,2.69626e-09,3.12585e-10,9.58101e-10,2.98271e-09,1.19137e-10,1.16598e-09,1.30217e-10,3.9108e-10,1.72779e-09,1.98227e-10,2.2242e-09,5.28587e-10,4.25178e-09,2.96364e-10,2.28236e-09
