Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 55.89      1.33     1.33    20000     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<double>::__value, void>::__type std::__fill_a1<double*, double>(double*, double*, double const&)
 16.18      1.72     0.39 400000000     0.00     0.00  Matrix<double>::operator[](unsigned long)
  7.56      1.90     0.18        1     0.18     0.86  func(unsigned long, unsigned long, Matrix<double>&)
  7.14      2.07     0.17 400000000     0.00     0.00  std::vector<double, std::allocator<double> >::operator[](unsigned long)
  7.14      2.24     0.17        3     0.06     0.06  std::_Vector_base<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_deallocate(std::vector<double, std::allocator<double> >*, unsigned long)
  5.04      2.36     0.12 400020000     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::operator[](unsigned long)
  1.05      2.38     0.03                             std::vector<Centroid*, std::allocator<Centroid*> >::operator[](unsigned long) const
  0.00      2.38     0.00   120000     0.00     0.00  __gnu_cxx::new_allocator<double>::~new_allocator()
  0.00      2.38     0.00   120000     0.00     0.00  std::allocator<double>::~allocator()
  0.00      2.38     0.00   120000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data const&)
  0.00      2.38     0.00   120000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator()
  0.00      2.38     0.00   100000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_Vector_impl_data()
  0.00      2.38     0.00    80000     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator(__gnu_cxx::new_allocator<double> const&)
  0.00      2.38     0.00    80000     0.00     0.00  std::allocator<double>::allocator(std::allocator<double> const&)
  0.00      2.38     0.00    60000     0.00     0.00  void std::_Destroy_aux<true>::__destroy<double*>(double*, double*)
  0.00      2.38     0.00    60000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::~_Vector_impl()
  0.00      2.38     0.00    60000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_deallocate(double*, unsigned long)
  0.00      2.38     0.00    60000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::~_Vector_base()
  0.00      2.38     0.00    60000     0.00     0.00  std::vector<double, std::allocator<double> >::~vector()
  0.00      2.38     0.00    60000     0.00     0.00  void std::_Destroy<double*>(double*, double*)
  0.00      2.38     0.00    60000     0.00     0.00  void std::_Destroy<double*, double>(double*, double*, std::allocator<double>&)
  0.00      2.38     0.00    40001     0.00     0.00  operator new(unsigned long, void*)
  0.00      2.38     0.00    40000     0.00     0.00  __gnu_cxx::new_allocator<double>::new_allocator()
  0.00      2.38     0.00    40000     0.00     0.00  __gnu_cxx::new_allocator<double>::_M_max_size() const
  0.00      2.38     0.00    40000     0.00     0.00  std::allocator<double>::allocator()
  0.00      2.38     0.00    40000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl(std::allocator<double> const&)
  0.00      2.38     0.00    40000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<double, std::allocator<double> >::_Vector_impl_data&)
  0.00      2.38     0.00    40000     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.00      2.38     0.00    20003     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      2.38     0.00    20001     0.00     0.00  Matrix<double>::getNumberOfRows() const
  0.00      2.38     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<double>::deallocate(double*, unsigned long)
  0.00      2.38     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<double>::allocate(unsigned long, void const*)
  0.00      2.38     0.00    20000     0.00     0.00  __gnu_cxx::new_allocator<double>::max_size() const
  0.00      2.38     0.00    20000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::get_allocator() const
  0.00      2.38     0.00    20000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00      2.38     0.00    20000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long)
  0.00      2.38     0.00    20000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_impl::_Vector_impl()
  0.00      2.38     0.00    20000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_create_storage(unsigned long)
  0.00      2.38     0.00    20000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(unsigned long, std::allocator<double> const&)
  0.00      2.38     0.00    20000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base()
  0.00      2.38     0.00    20000     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_Vector_base(std::allocator<double> const&)
  0.00      2.38     0.00    20000     0.00     0.00  std::allocator_traits<std::allocator<double> >::deallocate(std::allocator<double>&, double*, unsigned long)
  0.00      2.38     0.00    20000     0.00     0.00  std::allocator_traits<std::allocator<double> >::allocate(std::allocator<double>&, unsigned long)
  0.00      2.38     0.00    20000     0.00     0.00  std::allocator_traits<std::allocator<double> >::max_size(std::allocator<double> const&)
  0.00      2.38     0.00    20000     0.00     0.00  double* std::__uninitialized_default_n_1<true>::__uninit_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      2.38     0.00    20000     0.00     0.00  std::vector<double, std::allocator<double> >::_S_max_size(std::allocator<double> const&)
  0.00      2.38     0.00    20000     0.00     0.00  std::vector<double, std::allocator<double> >::_M_move_assign(std::vector<double, std::allocator<double> >&&, std::integral_constant<bool, true>)
  0.00      2.38     0.00    20000     0.00     0.00  std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long, std::allocator<double> const&)
  0.00      2.38     0.00    20000     0.00     0.00  std::vector<double, std::allocator<double> >::_M_default_initialize(unsigned long)
  0.00      2.38     0.00    20000     0.00     0.00  std::vector<double, std::allocator<double> >::vector()
  0.00      2.38     0.00    20000     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::allocator<double> const&)
  0.00      2.38     0.00    20000     0.00     0.00  std::vector<double, std::allocator<double> >::vector(unsigned long, std::allocator<double> const&)
  0.00      2.38     0.00    20000     0.00     0.00  std::vector<double, std::allocator<double> >::operator=(std::vector<double, std::allocator<double> >&&)
  0.00      2.38     0.00    20000     0.00     0.00  void std::_Construct<std::vector<double, std::allocator<double> >>(std::vector<double, std::allocator<double> >*)
  0.00      2.38     0.00    20000     0.00     0.00  void std::_Construct<double>(double*)
  0.00      2.38     0.00    20000     0.00     0.00  double* std::__fill_n_a<double*, unsigned long, double>(double*, unsigned long, double const&, std::random_access_iterator_tag)
  0.00      2.38     0.00    20000     0.00     0.00  double* std::__addressof<double>(double&)
  0.00      2.38     0.00    20000     0.00     0.00  void std::__alloc_on_move<std::allocator<double> >(std::allocator<double>&, std::allocator<double>&)
  0.00      2.38     0.00    20000     0.00     0.00  std::__size_to_integer(unsigned long)
  0.00      2.38     0.00    20000     0.00     0.00  void std::__do_alloc_on_move<std::allocator<double> >(std::allocator<double>&, std::allocator<double>&, std::integral_constant<bool, true>)
  0.00      2.38     0.00    20000     0.00     0.00  std::iterator_traits<double*>::iterator_category std::__iterator_category<double*>(double* const&)
  0.00      2.38     0.00    20000     0.00     0.00  double* std::__uninitialized_default_n<double*, unsigned long>(double*, unsigned long)
  0.00      2.38     0.00    20000     0.00     0.00  double* std::__uninitialized_default_n_a<double*, unsigned long, double>(double*, unsigned long, std::allocator<double>&)
  0.00      2.38     0.00    20000     0.00     0.00  std::remove_reference<std::allocator<double>&>::type&& std::move<std::allocator<double>&>(std::allocator<double>&)
  0.00      2.38     0.00    20000     0.00     0.00  std::remove_reference<std::vector<double, std::allocator<double> >&>::type&& std::move<std::vector<double, std::allocator<double> >&>(std::vector<double, std::allocator<double> >&)
  0.00      2.38     0.00    20000     0.00     0.00  double* std::fill_n<double*, unsigned long, double>(double*, unsigned long, double const&)
  0.00      2.38     0.00    20000     0.00     0.00  void std::_Destroy<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >*)
  0.00      2.38     0.00    20000     0.00     0.00  void std::__fill_a<double*, double>(double*, double*, double const&)
  0.00      2.38     0.00       23     0.00     0.00  unsigned long& std::forward<unsigned long&>(std::remove_reference<unsigned long&>::type&)
  0.00      2.38     0.00       15     0.00     0.00  std::reference_wrapper<Matrix<double> >&& std::forward<std::reference_wrapper<Matrix<double> > >(std::remove_reference<std::reference_wrapper<Matrix<double> > >::type&)
  0.00      2.38     0.00        9     0.00     0.00  void (&std::forward<void (&)(unsigned long, unsigned long, Matrix<double>&)>(std::remove_reference<void (&)(unsigned long, unsigned long, Matrix<double>&)>::type&))(unsigned long, unsigned long, Matrix<double>&)
  0.00      2.38     0.00        8     0.00     0.00  __gnu_cxx::__normal_iterator<std::thread*, std::vector<std::thread, std::allocator<std::thread> > >::base() const
  0.00      2.38     0.00        6     0.00     0.00  __gnu_cxx::new_allocator<std::vector<double, std::allocator<double> > >::~new_allocator()
  0.00      2.38     0.00        6     0.00     0.00  std::allocator<std::vector<double, std::allocator<double> > >::~allocator()
  0.00      2.38     0.00        6     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_Vector_impl_data::_M_copy_data(std::_Vector_base<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_Vector_impl_data const&)
